Year,Enrolling District Number,Enrolling District Type,Enrolling District,Count of Open Enrolled,Resident District Number,Resident District Type,Resident District
23-24,100,1,Wrenshall Public School District,5,704,1,Proctor Public School District
23-24,100,1,Wrenshall Public School District,98,709,1,Duluth Public School District
23-24,108,1,Central Public School District,3,110,1,Waconia Public School District
23-24,108,1,Central Public School District,1,111,1,Watertown-Mayer Public School District
23-24,108,1,Central Public School District,1,112,1,Eastern Carver County Public Schools
23-24,108,1,Central Public School District,8,2310,1,Sibley East School District
23-24,108,1,Central Public School District,3,2859,1,Glencoe-Silver Lake School District
23-24,110,1,Waconia Public School District,1,1,3,Minneapolis Public School District
23-24,110,1,Waconia Public School District,228,108,1,Central Public School District
23-24,110,1,Waconia Public School District,272,111,1,Watertown-Mayer Public School District
23-24,110,1,Waconia Public School District,75,112,1,Eastern Carver County Public Schools
23-24,110,1,Waconia Public School District,1,196,1,Rosemount-Apple Valley-Eagan
23-24,110,1,Waconia Public School District,2,270,1,Hopkins Public School District
23-24,110,1,Waconia Public School District,2,271,1,Bloomington Public School District
23-24,110,1,Waconia Public School District,1,272,1,Eden Prairie Public School District
23-24,110,1,Waconia Public School District,2,276,1,Minnetonka Public School District
23-24,110,1,Waconia Public School District,7,277,1,Westonka Public School District
23-24,110,1,Waconia Public School District,1,283,1,St. Louis Park Public School District
23-24,110,1,Waconia Public School District,1,284,1,Wayzata Public School District
23-24,110,1,Waconia Public School District,1,423,1,Hutchinson Public School District
23-24,110,1,Waconia Public School District,19,424,1,Lester Prairie Public School District
23-24,110,1,Waconia Public School District,12,716,1,Belle Plaine Public School District
23-24,110,1,Waconia Public School District,1,719,1,Prior Lake-Savage Area Schools
23-24,110,1,Waconia Public School District,2,877,1,Buffalo-Hanover-Montrose Schools
23-24,110,1,Waconia Public School District,1,879,1,Delano Public School District
23-24,110,1,Waconia Public School District,5,2310,1,Sibley East School District
23-24,110,1,Waconia Public School District,6,2687,1,Howard Lake-Waverly-Winsted
23-24,110,1,Waconia Public School District,17,2859,1,Glencoe-Silver Lake School District
23-24,111,1,Watertown-Mayer Public School District,10,108,1,Central Public School District
23-24,111,1,Watertown-Mayer Public School District,42,110,1,Waconia Public School District
23-24,111,1,Watertown-Mayer Public School District,2,277,1,Westonka Public School District
23-24,111,1,Watertown-Mayer Public School District,6,278,1,Orono Public School District
23-24,111,1,Watertown-Mayer Public School District,1,279,1,Osseo Public School District
23-24,111,1,Watertown-Mayer Public School District,3,281,1,Robbinsdale Public School District
23-24,111,1,Watertown-Mayer Public School District,1,423,1,Hutchinson Public School District
23-24,111,1,Watertown-Mayer Public School District,20,424,1,Lester Prairie Public School District
23-24,111,1,Watertown-Mayer Public School District,1,466,1,Dassel-Cokato Public School District
23-24,111,1,Watertown-Mayer Public School District,1,739,1,Kimball Public School District
23-24,111,1,Watertown-Mayer Public School District,63,877,1,Buffalo-Hanover-Montrose Schools
23-24,111,1,Watertown-Mayer Public School District,28,879,1,Delano Public School District
23-24,111,1,Watertown-Mayer Public School District,75,2687,1,Howard Lake-Waverly-Winsted
23-24,111,1,Watertown-Mayer Public School District,3,2859,1,Glencoe-Silver Lake School District
23-24,112,1,Eastern Carver County Public Schools,8,1,3,Minneapolis Public School District
23-24,112,1,Eastern Carver County Public Schools,18,108,1,Central Public School District
23-24,112,1,Eastern Carver County Public Schools,100,110,1,Waconia Public School District
23-24,112,1,Eastern Carver County Public Schools,6,111,1,Watertown-Mayer Public School District
23-24,112,1,Eastern Carver County Public Schools,4,191,1,Burnsville-Eagan-Savage School District
23-24,112,1,Eastern Carver County Public Schools,2,194,1,Lakeville Area Schools
23-24,112,1,Eastern Carver County Public Schools,1,196,1,Rosemount-Apple Valley-Eagan
23-24,112,1,Eastern Carver County Public Schools,13,270,1,Hopkins Public School District
23-24,112,1,Eastern Carver County Public Schools,6,271,1,Bloomington Public School District
23-24,112,1,Eastern Carver County Public Schools,40,272,1,Eden Prairie Public School District
23-24,112,1,Eastern Carver County Public Schools,43,276,1,Minnetonka Public School District
23-24,112,1,Eastern Carver County Public Schools,10,277,1,Westonka Public School District
23-24,112,1,Eastern Carver County Public Schools,2,280,1,Richfield Public School District
23-24,112,1,Eastern Carver County Public Schools,1,281,1,Robbinsdale Public School District
23-24,112,1,Eastern Carver County Public Schools,1,283,1,St. Louis Park Public School District
23-24,112,1,Eastern Carver County Public Schools,1,284,1,Wayzata Public School District
23-24,112,1,Eastern Carver County Public Schools,1,423,1,Hutchinson Public School District
23-24,112,1,Eastern Carver County Public Schools,1,424,1,Lester Prairie Public School District
23-24,112,1,Eastern Carver County Public Schools,2,625,1,Saint Paul Public Schools
23-24,112,1,Eastern Carver County Public Schools,15,716,1,Belle Plaine Public School District
23-24,112,1,Eastern Carver County Public Schools,19,717,1,Jordan Public School District
23-24,112,1,Eastern Carver County Public Schools,4,719,1,Prior Lake-Savage Area Schools
23-24,112,1,Eastern Carver County Public Schools,80,720,1,Shakopee Public School District
23-24,112,1,Eastern Carver County Public Schools,2,742,1,St. Cloud Public School District
23-24,112,1,Eastern Carver County Public Schools,1,748,1,Sartell-St. Stephen School District
23-24,112,1,Eastern Carver County Public Schools,1,883,1,Rockford Public School District
23-24,112,1,Eastern Carver County Public Schools,2,2310,1,Sibley East School District
23-24,112,1,Eastern Carver County Public Schools,3,2397,1,Le Sueur-Henderson School District
23-24,112,1,Eastern Carver County Public Schools,2,2687,1,Howard Lake-Waverly-Winsted
23-24,112,1,Eastern Carver County Public Schools,12,2859,1,Glencoe-Silver Lake School District
23-24,113,1,Walker-Hackensack-Akeley School District,1,31,1,Bemidji Public School District
23-24,113,1,Walker-Hackensack-Akeley School District,7,115,1,Cass Lake-Bena Public Schools
23-24,113,1,Walker-Hackensack-Akeley School District,17,118,1,Northland Community Schools
23-24,113,1,Walker-Hackensack-Akeley School District,11,306,1,Laporte Public School District
23-24,113,1,Walker-Hackensack-Akeley School District,2,308,1,Nevis Public School District
23-24,113,1,Walker-Hackensack-Akeley School District,4,2174,1,Pine River-Backus School District
23-24,115,1,Cass Lake-Bena Public Schools,141,31,1,Bemidji Public School District
23-24,115,1,Cass Lake-Bena Public Schools,6,32,1,Blackduck Public School District
23-24,115,1,Cass Lake-Bena Public Schools,1,38,1,Red Lake Public School District
23-24,115,1,Cass Lake-Bena Public Schools,22,113,1,Walker-Hackensack-Akeley School District
23-24,115,1,Cass Lake-Bena Public Schools,1,118,1,Northland Community Schools
23-24,115,1,Cass Lake-Bena Public Schools,9,306,1,Laporte Public School District
23-24,115,1,Cass Lake-Bena Public Schools,5,317,1,Deer River Public School District
23-24,116,1,Pillager Public School District,1,113,1,Walker-Hackensack-Akeley School District
23-24,116,1,Pillager Public School District,291,181,1,Brainerd Public School District
23-24,116,1,Pillager Public School District,5,186,1,Pequot Lakes Public Schools
23-24,116,1,Pillager Public School District,46,482,1,Little Falls Community Schools
23-24,116,1,Pillager Public School District,2,787,1,Browerville Public School District
23-24,116,1,Pillager Public School District,3,818,1,Verndale Public School District
23-24,116,1,Pillager Public School District,1,2155,1,Wadena-Deer Creek School District
23-24,116,1,Pillager Public School District,238,2170,1,Staples-Motley School District
23-24,116,1,Pillager Public School District,19,2174,1,Pine River-Backus School District
23-24,118,1,Northland Community Schools,1,2,1,Hill City Public School District
23-24,118,1,Northland Community Schools,3,115,1,Cass Lake-Bena Public Schools
23-24,118,1,Northland Community Schools,5,182,1,Crosby-Ironton Public School District
23-24,118,1,Northland Community Schools,4,317,1,Deer River Public School District
23-24,118,1,Northland Community Schools,5,318,1,Grand Rapids Public School District
23-24,118,1,Northland Community Schools,2,2174,1,Pine River-Backus School District
23-24,129,1,Montevideo Public School District,2,378,1,Dawson-Boyd Public School District
23-24,129,1,Montevideo Public School District,9,777,1,Benson Public School District
23-24,129,1,Montevideo Public School District,17,2180,1,MACCRAY School District
23-24,129,1,Montevideo Public School District,85,2190,1,Yellow Medicine East
23-24,129,1,Montevideo Public School District,63,2853,1,Lac qui Parle Valley School District
23-24,129,1,Montevideo Public School District,2,2890,1,Renville County West School District
23-24,138,1,North Branch Area Public Schools,1,1,3,Minneapolis Public School District
23-24,138,1,North Branch Area Public Schools,4,11,1,Anoka-Hennepin Public School District
23-24,138,1,North Branch Area Public Schools,5,15,1,St. Francis Area Schools
23-24,138,1,North Branch Area Public Schools,62,139,1,Rush City Public School District
23-24,138,1,North Branch Area Public Schools,1,314,1,Braham Public School District
23-24,138,1,North Branch Area Public Schools,1,332,1,Mora Public School District
23-24,138,1,North Branch Area Public Schools,16,578,1,Pine City Public School District
23-24,138,1,North Branch Area Public Schools,1,622,1,North St. Paul-Maplewood Oakdale Public School District
23-24,138,1,North Branch Area Public Schools,2,625,1,Saint Paul Public Schools
23-24,138,1,North Branch Area Public Schools,1,742,1,St. Cloud Public School District
23-24,138,1,North Branch Area Public Schools,20,831,1,Forest Lake Public School District
23-24,138,1,North Branch Area Public Schools,4,833,1,South Washington County Schools
23-24,138,1,North Branch Area Public Schools,56,911,1,Cambridge-Isanti Public School District
23-24,138,1,North Branch Area Public Schools,1,2142,1,St. Louis County School District
23-24,138,1,North Branch Area Public Schools,20,2144,1,Chisago Lakes School District
23-24,139,1,Rush City Public School District,1,728,1,Elk River Public School District
23-24,146,1,Barnesville Public School District,1,22,1,Detroit Lakes Public School District
23-24,146,1,Barnesville Public School District,8,150,1,Hawley Public School District
23-24,146,1,Barnesville Public School District,32,152,1,Moorhead Area Public School District
23-24,146,1,Barnesville Public School District,3,544,1,Fergus Falls Public School District
23-24,146,1,Barnesville Public School District,31,548,1,Pelican Rapids Public School District
23-24,146,1,Barnesville Public School District,1,564,1,Thief River Falls School District
23-24,146,1,Barnesville Public School District,25,846,1,Breckenridge Public School District
23-24,146,1,Barnesville Public School District,12,850,1,Rothsay Public School District
23-24,146,1,Barnesville Public School District,7,2164,1,Dilworth-Glyndon-Felton
23-24,150,1,Hawley Public School District,5,22,1,Detroit Lakes Public School District
23-24,150,1,Hawley Public School District,15,146,1,Barnesville Public School District
23-24,150,1,Hawley Public School District,4,152,1,Moorhead Area Public School District
23-24,150,1,Hawley Public School District,4,548,1,Pelican Rapids Public School District
23-24,150,1,Hawley Public School District,39,914,1,Ulen-Hitterdal Public School District
23-24,150,1,Hawley Public School District,2,2155,1,Wadena-Deer Creek School District
23-24,150,1,Hawley Public School District,16,2164,1,Dilworth-Glyndon-Felton
